GEOID,keep
24021752201,1
24021752302,1
24023000100,1
24023000200,1
24023000300,1
24023000400,1
24023000501,1
24023000502,1
24023000601,1
24023000602,1
24023000700,1
24031700400,1
24031700500,1
24031700604,1
24031700611,1
24033800800,1
24033800900,1
24033801003,1
24037875202,1
24037875300,1
24043001001,1
24043001002,1
24043010802,1
24043010803,1
24043010901,1
24043010902,1
24043011700,1
24510250500,1
25005640300,1
25005640400,1
25005640500,1
25005641000,1
25005642000,1
25005642100,1
25005644101,1
25005644200,1
25005645101,1
25005645102,1
25009203200,1
25009203301,1
25009203302,1
25009204300,1
25009204400,1
25009204500,1
25009217402,1
25009217500,1
25009217602,1
25009990100,1
25013811700,1
25013811800,1
25013811900,1
25013812001,1
25013812002,1
25013812101,1
25015821101,1
25015821300,1
25015821400,1
25015822300,1
25015822401,1
26017285100,1
26017285201,1
26017285202,1
26017285900,1
26017990000,1
26023950100,1
26023950800,1
26025003000,1
26025003100,1
26041970400,1
26041970500,1
26041970700,1
26041970800,1
26041970900,1
26041971000,1
26041971100,1
26041990000,1
26059050200,1
26059050300,1
26059050400,1
26059050500,1
26063950200,1
26063950900,1
26063951200,1
26063990000,1
26065000400,1
26065001703,1
26065002000,1
26065003400,1
26065003500,1
26065006700,1
26065006800,1
26065007000,1
26065980200,1
26075006403,1
26103000200,1
26103000300,1
26103000500,1
26103000600,1
26103000700,1
26103001100,1
26103001300,1
26103002801,1
26103002802,1
26103002901,1
26103990000,1
26109960500,1
26109960600,1
26109960700,1
26109990000,1
26115832600,1
26115833600,1
26115833700,1
26115990000,1
26121000900,1
26121001000,1
26121001500,1
26121001600,1
26121001700,1
26121001800,1
26121001901,1
26121002300,1
26121003200,1
26121003300,1
26121003400,1
26121004200,1
26121990000,1
26131970100,1
26131970200,1
26131970300,1
26131990100,1
26139020600,1
26139020900,1
26139021000,1
26139021100,1
26139021203,1
26139024901,1
26139024902,1
26139025101,1
26147620000,1
26147637100,1
26147637200,1
26147637300,1
26147640100,1
26147640200,1
26147641000,1
26147642000,1
26147643000,1
26147644000,1
26151970100,1
26151970200,1
26151990000,1
26157000300,1
26157990000,1
26163524600,1
26163579100,1
26163579200,1
26163594401,1
26163596100,1
26163596300,1
26163597000,1
26163982301,1
26163982302,1
26163984100,1
26163985600,1
26163987000,1
27009020202,1
27009020205,1
27009020206,1
27009020300,1
27009021103,1
27009021104,1
27021960100,1
27031480101,1
27031480102,1
27031480200,1
27031990000,1
27035950901,1
27035951000,1
27035951100,1
27035951200,1
27035951301,1
27035951303,1
27035951304,1
27037060710,1
27037060711,1
27037060714,1
27037060721,1
27037060725,1
27037060737,1
27037060738,1
27037060747,1
27037060748,1
27053025100,1
27053025301,1
27053025801,1
27055020200,1
27055020900,1
27061480301,1
27061480302,1
27061480701,1
27061480702,1
27061480801,1
27061480804,1
27061480805,1
27061480902,1
27061940000,1
27075370101,1
27109000100,1
27109000200,1
27109000500,1
27109000600,1
27109001301,1
27109001401,1
27109001502,1
27109001503,1
27109001601,1
27109002300,1
27111960800,1
27111960900,1
27111961000,1
27111961100,1
27111961700,1
27145010101,1
27145010103,1
27157490100,1
27157490200,1
28033070101,1
28035000800,1
28035010500,1
28035010601,1
28069030100,1
28069030200,1
28073020203,1
28073020204,1
28073020206,1
28073020303,1
28073020304,1
28073020305,1
28073020402,1
28075010205,1
28075010301,1
28075010304,1
28095950101,1
28095950501,1
28095950502,1
28099010101,1
28099010102,1
28099010600,1
28101050100,1
28103950100,1
28103950200,1
28159950500,1
29011960200,1
29013070100,1
29013070200,1
29013070300,1
29013070400,1
29015460702,1
29019000200,1
29019000700,1
29019000900,1
29019001001,1
29019001402,1
29019001506,1
29019001507,1
29019002100,1
29027070200,1
29027070602,1
29027070701,1
29037061100,1
29043020202,1
29043020207,1
29043020307,1
29047021401,1
29047021403,1
29047021601,1
29047021602,1
29047021701,1
29047021704,1
29047021811,1
29047022301,1
29051020198,1
29073960200,1
29077003801,1
29077004002,1
29077004003,1
29077004004,1
29077004005,1
29077004108,1
29077004109,1
29083950200,1
29083950300,1
29083950400,1
29083950500,1
29083950600,1
29095014902,1
29095014903,1
29095015000,1
29095015100,1
29095017700,1
29097011202,1
29097011301,1
29097011302,1
29097011502,1
29097012201,1
29097012202,1
29099700111,1
29099700115,1
29107090100,1
29139970300,1
29145020601,1
29151490100,1
29151490200,1
29151490300,1
29161890401,1
29161890402,1
29161890500,1
29161890700,1
29161890800,1
29163460100,1
29163460200,1
29163460300,1
29163460400,1
29163460500,1
29173470100,1
29173470200,1
29177080300,1
29183310100,1
29185480100,1
29185480300,1
29189220445,1
29189220446,1
29189220451,1
29189220452,1
29195090200,1
29195090300,1
29195090400,1
29195090500,1
29195090600,1
29217950200,1
29217950500,1
30003000100,1
30003940400,1
30003940500,1
30003940700,1
30017961300,1
30027030100,1
30037000100,1
30065000100,1
30065000200,1
30069000100,1
30075000100,1
30083070100,1
30083070200,1
30083070301,1
30083070302,1
30083070400,1
30087000100,1
30087000200,1
30087000300,1
30087940400,1
30103963500,1
30111000200,1
30111000300,1
30111000401,1
30111000402,1
30111000800,1
30111000901,1
30111000902,1
30111001000,1
30111001402,1
30111001502,1
30111940001,1
31043010400,1
31055000200,1
31055000300,1
31055000400,1
31055006202,1
31055007303,1
31055007304,1
31153010103,1
31173940200,1
32003003314,1
32003003316,1
32003003649,1
32003003657,1
32003005613,1
32003005702,1
32003005704,1
32003005705,1
32003005818,1
32003005902,1
32003005904,1
32003007500,1
32003007600,1
32003007802,1
32017950200,1
32023960411,1
32023980500,1
34001011600,1
34001011804,1
34001012702,1
34001012802,1
34005701502,1
34005701700,1
34005704202,1
34009020203,1
34009020205,1
34009020206,1
34009020301,1
34009020302,1
34009020400,1
34015500500,1
34015500602,1
34015502201,1
34015502202,1
34015502204,1
34015502400,1
34021000100,1
34021000200,1
34021000300,1
34021002500,1
34021002601,1
34021002602,1
34021003003,1
34021003004,1
34033020100,1
34041031200,1
34041031601,1
34041031700,1
35003976401,1
35003976402,1
35006974701,1
35006974702,1
35007950500,1
35007950600,1
35007950700,1
35017964100,1
35031943500,1
35031943602,1
35031944000,1
35031946001,1
35031946002,1
35031946003,1
35045000202,1
35045000401,1
35045000402,1
35045000503,1
35045000504,1
35045000506,1
35045000507,1
35045000611,1
35045000613,1
35045942801,1
35045942802,1
35045942900,1
35045943000,1
35045943100,1
35045943201,1
35045943300,1
35051962402,1
35053940000,1
35053978200,1
36007012900,1
